Url;Spec;Major_image
https://aurora-pack.ru/catalog/sku/md500d2/;"Тип: автомат
Производительность: 2000 шт/ч
Тип дозатора: Автоматические поршневые дозаторы
Тип тары: Стеклянная тараПластиковая тара
Мощность: до 0.4 кВт
Вес: 135 кг
Напряжение: 220
Отрасль: КосметикаФармацевтикаПищевое производствоВетеринарияХимия
Внутренний диаметр горла тары: 3 - 40 мм
Высота тары: 55 - 230 мм
Диаметр корпуса тары: 10 - 95 мм
Тип продукта: Лекарственный препаратВода и негазированные напиткиВязкий
Продолжительность переналадки: до 25 мин
Высота: 1770 мм
Диаметр вращающегося стола: до 500 мм
Длина: до 915 мм
Ширина: до 572 мм
Количество дозирующих сопел: до 3 шт";/upload/resize_cache/iblock/571/370_370_1/0d53a0837b5588764d72a7889195d5d9.jpg
https://aurora-pack.ru/catalog/sku/md500p4u/;"Тип: полуавтомат
Производительность: 2000 - 3000 шт/ч
Тип дозатора: Вакуумные дозаторы
Тип тары: Стеклянная тара
Вес: 80 кг
Напряжение: 220
Отрасль: Косметика
Тип продукта: Жидкая парфюмерия
Продолжительность переналадки: 5 - 10 мин
Количество дозирующих сопел: 1 - 4 шт";/upload/resize_cache/iblock/730/370_370_1/620fdc64601b039990518f2e2204dcd2.JPG
https://aurora-pack.ru/catalog/sku/niagara-a/;"Тип: ручной
Производительность: 1000 - 5000 шт/ч
Тип дозатора: Механические дозаторы
Тип тары: Стеклянная тараПластиковая тара
Тип линии розлива: Линии розлива бытовой и промышленной химии
Вес: 500 кг
Напряжение: 220,380
Отрасль: ФармацевтикаВетеринарияХимия
Внутренний диаметр горла тары: до 58 мм
Высота тары: до 235 мм
Диаметр корпуса тары: до 106 мм
Тип продукта: Агрессивная жидкость
Продолжительность переналадки: до 20 мин
Высота: до 2200 мм
Длина: до 2500 мм
Ширина: до 1500 мм
Количество дозирующих сопел: 6 - 24 шт";/upload/resize_cache/iblock/0dc/370_370_1/97b4520c45d3236c3539e675f4ef18c4.jpg
https://aurora-pack.ru/catalog/sku/md500p3/;"Тип: полуавтомат
Производительность: 800 - 1000 шт/ч
Тип дозатора: Шнековые дозаторы для густых и сыпучих продуктов
Тип тары: Стеклянная тараПластиковая тара
Мощность: до 1,5 кВт
Вес: 55 кг
Напряжение: 220
Отрасль: ФармацевтикаВетеринарияХимия
Тип продукта: Порошок
Продолжительность переналадки: до 15 мин
Высота: 750 мм
Длина: 550 мм
Ширина: 460 мм
Количество дозирующих сопел: до 1 шт";/upload/resize_cache/iblock/920/370_370_1/2LOGO.jpg
https://aurora-pack.ru/catalog/sku/mdsh600/;"Тип: полуавтомат
Производительность: до 1000 шт/ч
Тип дозатора: Шнековые дозаторы для густых и сыпучих продуктов
Тип тары: Стеклянная тараПластиковая тара
Мощность: до 1,8 кВт
Вес: 120 кг
Напряжение: 220
Отрасль: КосметикаПищевое производствоХимия
Тип продукта: ПорошокГустой продукт
Продолжительность переналадки: до 15 мин
Высота: до 2150 мм
Объем емкости: 50 л
Диаметр вращающегося стола: до 0.0 мм
Объем дозирования: 10-5000 гр
Длина: до 800 мм
Ширина: до 1200 мм
Количество дозирующих сопел: до 1 шт";/upload/resize_cache/iblock/023/370_370_1/1LOGO.jpg
https://aurora-pack.ru/catalog/sku/avtomaticheskiy-elevator-kolpachkov-upk-1/;"Мощность: 0,375 кВт
Вес: 70 кг
Напряжение: 220
Отрасль: ФармацевтикаПищевое производствоХимия
Высота: 2500 мм
Длина: 1850 мм
Ширина: 700 мм
Тип ориентатора: Элеваторы и подъемники для колпачков и крышек";/upload/resize_cache/iblock/c5b/370_370_1/dd1b45c7f3d5f81b55683159b7841aba.jpg
https://aurora-pack.ru/catalog/sku/mdr/;"Тип: ручной
Производительность: 500 шт/ч
Тип дозатора: Механические дозаторы
Тип тары: Стеклянная тараПластиковая тара
Вес: 15 кг
Отрасль: КосметикаПищевое производствоЭлектронные сигареты
Тип продукта: Лекарственный препаратВода и негазированные напиткиСок
Продолжительность переналадки: 5 - 10 мин
Высота: 650 мм
Длина: 315 мм
Ширина: 215 мм
Количество дозирующих сопел: 1 шт";/upload/resize_cache/iblock/a5c/370_370_1/92843ec00493d33c193d3db28be5104f.JPG
https://aurora-pack.ru/catalog/sku/mz400am/;"Тип: полуавтомат
Производительность: 400 - 600 шт/ч
Количество укупорочных головок: до 1 шт
Тип тары: Стеклянная тара
Тип колпачков: алюминиевые гладкие 
Мощность: до 0,2 кВт
Вес: 20 кг
Напряжение: 220
Отрасль: ФармацевтикаВетеринария
Высота тары: 30 - 180 мм
Продолжительность переналадки: до 15 мин
Диаметры крышек: 10 - 35 мм
Наружный диаметр горла тары: 10 - 35 мм
Высота: до 650 мм
Длина: до 250 мм
Ширина: до 400 мм";/upload/resize_cache/iblock/97d/370_370_1/ba437902f131b452afa1cd125aa1d697.jpg
https://aurora-pack.ru/catalog/sku/mo4000/;"Тип: автомат
Производительность: 2000 - 4000 шт/ч
Тип тары: Стеклянная тара
Мощность: до 1 кВт
Вес: 500 кг
Напряжение: 220
Количество моечных сопел: 6 - 12 шт
Количество моющих растворов: до 3 шт
Отрасль: ФармацевтикаВетеринария
Реализуемые моечные операции: обработка моющим растворомобработка чистой водой
Внутренний диаметр горла тары: 10 - 52 мм
Высота тары: 110 мм
Диаметр корпуса тары: до 80 мм
Потребление воды: от 1800 л/ч
Продолжительность переналадки: до 60 мин
Высота: 1400 мм
Емкость баков: 50 л
Длина: 3400 мм
Ширина: 450 мм";/upload/resize_cache/iblock/4f4/370_370_1/337c263e147393cabcfc4fce94e51c46.jpg
https://aurora-pack.ru/catalog/sku/mo3000/;"Тип: полуавтомат
Производительность: 2000 шт/ч
Тип тары: Стеклянная тараПластиковая тара
Мощность: до 0.8 кВт
Вес: 220 кг
Напряжение: 220
Емкость магазина флаконов: 12 шт
Количество моечных сопел: до 9 шт
Количество моющих растворов: 1 - 3 шт
Отрасль: ФармацевтикаВетеринария
Реализуемые моечные операции: обработка моющим растворомобработка проточной водойобработка фильтрованной водойобработка чистой водой
Внутренний диаметр горла тары: 12 - 25 мм
Высота тары: 55 - 165 мм
Диаметр корпуса тары: 22 - 79 мм
Продолжительность переналадки: до 20 мин
Высота: 1690 мм
Длина: 850 мм
Ширина: 850 мм";/upload/resize_cache/iblock/580/370_370_1/83e902c7b046cab8c3c48f752735a229.jpg
